127.0.0.1 - - [02/Mar/2020:16:33:43 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:33:44 +0530] "GET /Training/Login.html HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:34:10 +0530] "GET /Training/Login.html HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:34:43 +0530] "GET /Training/Login.html HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:37:04 +0530] "GET /Training/Login.html HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:37:48 +0530] "GET /Training/Login.html HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:41:34 +0530] "GET /Training/Login.html HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:42:13 +0530] "GET /Training/Login.html HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:43:00 +0530] "GET /Training/Login.html HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:46:51 +0530] "GET /Training/Link.html HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [02/Mar/2020:16:46:52 +0530] "GET /Training/Login.html HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:18:58 +0530] "GET /Training/Main.html HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:18:58 +0530] "GET /Training/top.html HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:18:58 +0530] "GET /Training/left.html HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:18:58 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:25:20 +0530] "GET /Training/Login.html HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:25:26 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:25:26 +0530] "GET /Training/top.html HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:25:26 +0530] "GET /Training/left.html HTTP/1.1" 404 731
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:25:26 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:46:28 +0530] "GET /Training/Main.html HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:46:28 +0530] "GET /Training/top.html HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:46:28 +0530] "GET /Training/left.html HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:46:28 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:47:40 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:47:40 +0530] "GET /Training/top.html HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:47:40 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:47:40 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:47:56 +0530] "GET /Training/Link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:48:25 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:48:25 +0530] "GET /Training/top.html HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:48:25 +0530] "GET /Training/left.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:17:48:25 +0530] "GET /Training/right.html HTTP/1.1" 404 732
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:03:30 +0530] "GET /Training/Login.html HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:04:00 +0530] "GET /Training/AboutUs.html HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:04:01 +0530] "GET /Training/Home.html HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:04:02 +0530] "GET /Training/Services.html HTTP/1.1" 404 735
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:04:42 +0530] "GET /Training/Services.html HTTP/1.1" 404 735
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:04:43 +0530] "GET /Training/Services.html HTTP/1.1" 404 735
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:04:47 +0530] "GET /Training/Services.html HTTP/1.1" 404 735
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:04:47 +0530] "GET /Training/Services.html HTTP/1.1" 404 735
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:06:01 +0530] "GET /Training/Top.html HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:06:07 +0530] "GET /Training/Main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:06:07 +0530] "GET /Training/top.html HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [02/Mar/2020:18:06:07 +0530] "GET /Training/left.html HTTP/1.1" 304 -
